step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,Works Cited,"Brooks, Arthur C. “The Secret to Love Is Just Kindness.” The Atlantic, 14 Feb. 2023, https://www.theatlantic.com/family/archive/2023/02/love-kindness-happiness-marriage-friendship/673021/.

Catron, Mandy Len. “To Fall in Love With Anyone, Do This.” The New York Times, 9 Jan. 2015, https://www.nytimes.com/2015/01/11/style/modern-love-to-fall-in-love-with-anyone-do-this.html.

Smith, Emily Esfahani. “There’s More to Life Than Being Happy.” The Atlantic, 9 Jan. 2013, https://www.theatlantic.com/health/archive/2013/01/theres-more-to-life-than-being-happy/266805/.",,,,,,,,
